GeneSymbol	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
C15orf37	0.827472474	1.169363215	0.494446964	0.798817179	0.807423496	1.055378834	0.996852055	1.019284806	0.780241578	1.175967227	0.851026493	1.142029446	0.688534253	0.958064313	0.852160331	0.74309148	0.802650747
OR4N4	0.067846714	0.159798774	0.04729789	0.390750274	0.046341991	0.057144682	0.020145854	0.0	0.104957549	0.1917458	0.091583588	0.249966099	0.18999209	0.20365928	0.0	0.020504645	0.088592422
FAM154B	0.585985609	1.000620921	1.184671381	1.0462106	0.980615836	0.96242869	0.84388942	0.580112409	0.921616824	1.02677593	0.777815419	0.911549654	1.033794457	0.868499239	0.93034749	0.832354323	0.975584497
FAM98B	16.09151375	7.038608909	15.78512552	13.41595711	10.75561627	15.87668075	16.39906585	16.93095731	16.95112406	18.67814527	16.36854818	16.9857939	9.752550161	16.58252289	15.23996116	16.43060052	12.64464175
PLA2G4D	0.058528884	0.082711541	0.081604327	0.071911679	0.079955088	0.236623829	0.104274555	0.031542077	0.0	0.105863745	0.105341091	0.076670801	0.131119392	0.079060242	0.040183405	0.183961529	0.01528509
HERC2P3	5.363000979	33.4170092	14.46618471	13.5699744	112.621666	7.200445664	6.376090932	2.289267493	14.09576482	19.04042823	31.63312295	15.85919398	41.05141657	14.46466965	2.898211862	7.189322196	17.90236862
LOC283767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02486951	0.0	0.0	0.0	0.0
GOLGA8G	0.0	0.0	0.0	0.0	0.0	0.0	0.008484619	0.003208147	0.003683656	0.004037779	0.009642826	0.0	0.0	0.018762856	0.009195879	0.002158932	0.004663943
FAM169B	0.014925043	0.0	0.062428052	0.02292212	0.02038879	0.113137113	0.062044098	0.053622169	0.092355005	0.03374447	0.134311489	0.012219554	0.050153764	0.112003341	0.012808613	0.045106488	0.097443605
FBXL22	0.740918977	1.176032172	1.145317791	0.606063563	0.594090372	0.610481348	0.899140559	0.925894837	0.614622155	0.892207762	0.536305423	0.89672975	0.902089404	1.051592624	1.230238757	0.642554913	0.778184123
NOMO2	27.27912504	15.67412553	19.79968864	30.58191907	17.35997347	12.54574338	29.24537986	26.26908208	26.10437123	35.99303551	19.54936719	17.64372619	16.04937739	20.48868978	15.53438678	30.63368383	17.2585662
FLJ37464	25.33379217	106.8650741	37.63364091	24.98022287	19.64439371	12.210034	19.43816719	24.01517709	21.06334605	25.24021133	19.65599059	29.44945381	21.00511438	25.94313089	23.15701706	20.47623813	26.99854934
EXOC3L	0.633316827	1.118734194	0.809422757	0.54036564	0.60080619	1.007568167	0.793997193	0.711049511	0.635009424	0.795491509	0.569926177	0.878593812	0.886742922	0.89772399	1.026629999	0.754971056	0.872910823
LOC283867	0.057875122	0.0	0.0	0.088885541	0.039530999	0.048745993	0.01718497	0.0	0.0	0.032712893	0.052082221	0.0	0.0	0.043431748	0.024834101	0.0	0.0
NPW	0.096895258	0.342324833	0.135096926	0.0	0.264733184	0.081611155	0.172627757	0.043515235	0.0	0.054768338	0.087196711	0.079330886	0.651209107	0.0	0.041577564	0.058567401	0.126523233
C16orf79	6.162853528	21.86722794	8.704196117	11.61614791	8.200271799	5.864856257	5.323484475	4.169537806	3.714473246	4.885870044	7.706771381	8.84636121	14.25459674	7.087425717	8.105123555	8.756350198	10.24200424
PGP	10.17103593	16.19231392	10.7889715	11.78794893	9.220076008	10.84054294	9.74077073	11.02467352	9.421211797	7.807282418	10.33948342	9.316825644	11.16427687	8.763518546	9.671662617	11.16657718	12.56372472
C16orf54	0.04737516	0.02231646	0.026421266	0.050931672	0.090605506	0.191530934	0.022507514	0.034041562	0.039087174	0.02142238	0.042633233	0.062059811	0.074292576	0.078214768	0.09757722	0.04008964	0.074233458
INO80E	11.55390275	25.08264529	13.33494163	13.29982068	14.76425601	11.08352209	12.58524277	10.64162366	12.05568663	10.17297343	11.65896523	11.01449404	13.92955324	10.67268877	12.28281835	12.15241871	12.81342679
LOC283902	0.368250308	0.722780612	0.171145233	0.141391184	0.922274958	0.258469243	0.109345262	0.165379595	0.189892024	0.138764666	0.276159158	0.251247444	0.412486566	0.184232927	0.368702787	0.111292667	0.240425694
NUDT7	2.149237953	2.222377192	1.608019673	2.938547482	1.360598878	3.532137734	2.521578609	3.013348905	4.162794475	3.674086395	3.01910485	2.403473087	1.761524102	3.147300234	3.59896102	2.31306626	1.985026903
FLJ36208	0.048163201	0.340315098	0.134303794	0.147939634	0.427665838	0.202830072	0.214517858	0.129779291	0.049671691	0.245010606	0.151698387	0.098581433	0.323692981	0.198789491	0.351334484	0.116447122	0.345896196
LOC283951	0.195716863	0.921940439	0.409319515	0.676316478	1.871553086	0.164844798	0.174343739	0.087895583	0.0	0.110625509	0.616444339	0.160238926	1.424978443	0.367183915	0.335926878	0.354897491	0.127780919
PDXDC2	39.22499569	98.41626682	35.98214826	40.10896787	44.9557953	11.20669258	21.85158936	26.83908658	35.63534577	31.68828648	31.76727783	35.87840203	38.3270595	33.01203649	27.23169432	26.62339742	34.13783189
MGC34761	0.126455469	0.372299326	0.044077867	0.388424678	0.302309314	0.079881439	0.056322993	0.340743572	0.0	0.071476726	0.312944906	0.258831663	0.920698981	0.213518508	0.325570751	0.401282615	0.330244327
FADS6	2.614660934	1.920933892	2.341153364	3.168301735	1.409072045	3.43466829	3.276450149	3.468834324	2.820248205	2.847312992	2.806272303	2.612042868	2.579448158	2.610190919	3.095272624	3.407298398	3.696056849
C17orf28	17.73715671	59.00920752	22.50566321	24.54179544	20.85888332	11.10738357	16.35165318	17.83461261	13.80628977	14.61217584	21.68245903	21.28791787	25.32696068	20.00807374	19.04081865	15.20385403	22.33062966
TSEN54	4.227881594	15.57052297	6.323464464	5.981659168	8.155876782	4.078943361	4.443330028	3.199060649	4.386726516	3.823576938	5.511049986	5.160761129	9.471516109	5.653294294	4.925761745	3.94941234	7.561623782
FAM100B	3.668128511	4.443177112	5.796223843	6.277407314	11.11954528	7.120616699	3.983302791	4.86357641	3.927130574	5.844858336	5.816002029	5.834789461	15.69156668	4.666493205	4.497104858	4.751067364	5.382759868
CCDC57	5.386520826	37.76579463	12.74346263	7.853001917	8.168019225	3.849120515	4.622313151	6.170613032	3.728386992	5.679919518	5.919950908	7.477755822	9.263797666	5.514861705	6.871873022	5.699693263	10.0946413
HEXDC	4.962153565	13.14823158	6.702315382	7.501877698	10.22856585	7.61253573	4.315020607	5.073774531	6.37411633	3.280579058	8.193351397	6.397462852	12.60528255	6.500014588	6.045549946	5.530006735	8.417496141
LOC284009	1.28184352	1.811468909	1.787219756	1.574940688	2.801759531	0.647788541	0.558243001	0.537292273	0.881327564	1.159263147	1.768761052	1.399308679	3.063094688	1.282593814	0.733382031	1.239676651	1.673796931
VMO1	0.306875257	1.445561224	1.198016634	0.612695131	1.006118136	1.447427763	0.656071575	0.882024508	0.253189365	1.040734995	0.441854653	0.552744376	1.374955221	0.460582317	0.895421053	0.85324378	0.881560877
C17orf58	3.336071524	1.18602568	3.598208163	2.585963995	2.106693867	5.460642026	3.663299339	3.759671762	3.115977557	3.344370408	2.973831548	3.478588327	2.996505673	4.676382968	3.241135931	3.766587881	3.246566732
C17orf60	2.50859955	3.273618745	1.654677687	1.926373734	3.195395168	4.368557436	0.624091349	1.065703682	2.027781767	2.261042171	2.44054705	2.636713875	3.227641096	1.424633128	2.211055907	1.905618654	2.611676534
CDRT4	6.387690457	8.617031694	8.161612949	6.833812548	4.754773909	6.146313456	5.977863179	7.193912727	6.383800075	6.639797277	4.98306955	7.140353423	6.224641595	6.886121996	9.028996482	6.263629395	6.688193956
CCDC144B	6.801551815	64.26374048	14.30689399	2.38505395	12.7824684	5.712128991	4.868047592	2.56016948	5.02779073	8.800029511	6.050003078	15.96553085	6.407543919	22.74739546	8.823077875	4.515116237	8.470588941
