"GeneSymbol"	"C1_raw"	"C3_raw"	"C4_raw"	"C7_raw"	"C8_raw"	"A9_raw"	"A10_raw"	"A11_raw"	"A12_raw"	"A14_raw"	"A15_raw"	"A16_raw"	"A17_raw"
"ARCN1"	2943	1791	3583	4890.024537	3205	3147	2931.975709	3152	3268	3870	2912	4800	1873
"TRIM23"	3321.016394	1575	3517	6934.915934	3839.047386	3494	3087	3430	3283	3749.030064	3416.053198	6380.898164	1770
"AREG"	1	0	0	0	2	0	1	0	0	0	0	0	0
"ARF1"	3337.616651	2332	4232	5978.507219	4349.638109	2769.999205	2748.94837	2989	3835.626733	4717	4435	6031.226287	2415
"ARF3"	5343.479517	4121.270504	6694.687668	11672.97351	7499.594396	5237.307784	5132.685192	5213.445248	5854.207734	7090	6525.575983	10545.25996	3621
"ARF4"	970.1243259	611.9931422	1007.234427	1970.255633	1286.963463	1135.228646	1124.202733	1163.795325	1405.042913	1632	1203.448738	1806.929407	691
"ARL4D"	56	46	81	337	103	89	83	49	57	102	98	152	43
"ARF5"	1132	911	1839.995566	2808.977864	1843.942239	1200.262277	1226.071528	1178	1273.198778	1625.966046	1549.944535	2388	781
"ARF6"	433	307	505	846	644	484	523	563	722	667	547	834	347
"ARG1"	35	3	10	21	39	12	17	18	23	25	13	27	6
"ARG2"	666	451	1066	1395	870	694	711	1080	912	861	679	1320	501
"RHOA"	3238.969956	2055.957161	3888.948687	4889.956548	3423.922876	3233.55078	3018.845308	3339.518927	4658.983667	4914.937802	4378.932046	5051.796945	2626.969459
"RHOB"	3818	1879	4232	4503	4919	2938	2743	3717	5070	4416	5035	5741	3734
"RHOC"	663	436	698	671	621	516	629	516	1222	1157	1296	1560	666
"RND3"	228	182	179	527	257	163	251	199	312	275	173	361	127
"RHOG"	195	107	222	201	129	162	110	239	246	315	244	254	148
"ARHGAP1"	1340	925	1506	1608	1367	1092	1166	1455	2066.051557	2180	1852	2046	1123
"ARHGAP4"	179	129	242	166.718009	246	125	168	170	222	343	333	345	180
"ARHGAP5"	11471.1593	8461	12223.19348	17812.08171	11097.96698	11933.11073	9528.327615	13998.51188	14657.10834	15639.18895	12965.33427	16844.80686	9873
"ARHGAP6"	126	86	150	159	142	161	148	175	179	166	206	238	127
"ARHGDIA"	1501	1250	2074	2891	2131	1374	1316	1668	1930	2357	2563	2932	1321
"ARHGDIB"	359	113	234	202	205	180	320	285	434	255	424	526	239
"ARHGDIG"	1063	841	2078	3502	2096	1197	836	1231	1233	1190	1424	2846	1026
"RHOH"	5	5	10	4	2	2	1	4	2	8	8	7	3
"ARL1"	1864	1203	2292.387411	3607.974566	2538.70092	2275	2086	1862	2171.919912	2641.703645	2246.628878	3297	1242
"PHOX2A"	1	2	1	0	2	0	3	4	1	0	1	2	1
